Record Length,2500,Points,-57.999998331E-3,1.1000000,,Record Length,2500,Points,-57.999998331E-3,-59.999998659E-3,
Sample Interval,39.99999899E-6,s,-57.959999889E-3,1.0799999,,Sample Interval,39.99999899E-6,s,-57.959999889E-3,-39.99999911E-3,
Trigger Point,1.4500001E3,Samples,-57.919997722E-3,1.0400000,,Trigger Point,1.4500001E3,Samples,-57.919997722E-3,-39.99999911E-3,
,,,-57.879999280E-3,1.0200000,,,,,-57.879999280E-3,-39.99999911E-3,
,,,-57.839997113E-3,959.999978542E-3,,,,,-57.839997113E-3,-59.999998659E-3,
,,,-57.799998671E-3,939.999997616E-3,,,,,-57.799998671E-3,-59.999998659E-3,
Source,CH1,,-57.759996504E-3,919.999957085E-3,,Source,CH2,,-57.759996504E-3,-59.999998659E-3,
Vertical Units,Volts,,-57.719998062E-3,879.999995232E-3,,Vertical Units,Volts,,-57.719998062E-3,-59.999998659E-3,
Vertical Scale,499.999988824E-3,,-57.679999620E-3,859.999954700E-3,,Vertical Scale,499.999988824E-3,,-57.679999620E-3,-59.999998659E-3,
Vertical Offset,0,,-57.639997452E-3,819.999992847E-3,,Vertical Offset,0,,-57.639997452E-3,-59.999998659E-3,
Horizontal Units,s,,-57.599999011E-3,799.999952316E-3,,Horizontal Units,s,,-57.599999011E-3,-59.999998659E-3,
Horizontal Scale,9.999999747E-3,,-57.559996843E-3,779.999971390E-3,,Horizontal Scale,9.999999747E-3,,-57.559996843E-3,-59.999998659E-3,
Pt Fmt,Y,,-57.519998401E-3,759.999990463E-3,,Pt Fmt,Y,,-57.519998401E-3,-39.99999911E-3,
Yzero,-1.0800000,,-57.479999959E-3,740.000009537E-3,,Yzero,3.16000000,,-57.479999959E-3,-39.99999911E-3,
Probe Atten,1.000000,,-57.439997792E-3,719.999969006E-3,,Probe Atten,1.000000,,-57.439997792E-3,-59.999998659E-3,
,,,-57.399999350E-3,680.000007153E-3,,,,,-57.399999350E-3,-59.999998659E-3,
Note,TBS 1052B-EDU - 11:26:40 a.m.   05/02/2016,,-57.359997183E-3,659.999966621E-3,,Note,TBS 1052B-EDU - 11:26:40 a.m.   05/02/2016,,-57.359997183E-3,-39.99999911E-3,
,,,-57.319998741E-3,639.999985695E-3,,,,,-57.319998741E-3,-59.999998659E-3,
,,,-57.279996574E-3,620.000004768E-3,,,,,-57.279996574E-3,-39.99999911E-3,
,,,-57.239998132E-3,599.999964237E-3,,,,,-57.239998132E-3,-59.999998659E-3,
,,,-57.199999690E-3,579.999983311E-3,,,,,-57.199999690E-3,-59.999998659E-3,
,,,-57.159997523E-3,560.000002384E-3,,,,,-57.159997523E-3,-39.99999911E-3,
,,,-57.119999081E-3,539.999961853E-3,,,,,-57.119999081E-3,-39.99999911E-3,
,,,-57.079996914E-3,519.999980927E-3,,,,,-57.079996914E-3,-39.99999911E-3,
,,,-57.039998472E-3,519.999980927E-3,,,,,-57.039998472E-3,-39.99999911E-3,
,,,-57.000000030E-3,500.000000000E-3,,,,,-57.000000030E-3,-59.999998659E-3,
,,,-56.959997863E-3,479.999989271E-3,,,,,-56.959997863E-3,-39.99999911E-3,
,,,-56.919999421E-3,459.999978542E-3,,,,,-56.919999421E-3,-39.99999911E-3,
,,,-56.879997253E-3,459.999978542E-3,,,,,-56.879997253E-3,-59.999998659E-3,
,,,-56.839998811E-3,419.999986887E-3,,,,,-56.839998811E-3,-59.999998659E-3,
,,,-56.799996644E-3,399.99997616E-3,,,,,-56.799996644E-3,-39.99999911E-3,
,,,-56.759998202E-3,399.99997616E-3,,,,,-56.759998202E-3,-59.999998659E-3,
,,,-56.719999760E-3,399.99997616E-3,,,,,-56.719999760E-3,-39.99999911E-3,
,,,-56.679997593E-3,399.99997616E-3,,,,,-56.679997593E-3,-59.999998659E-3,
,,,-56.639999151E-3,379.99999523E-3,,,,,-56.639999151E-3,-59.999998659E-3,
,,,-56.599996984E-3,419.999986887E-3,,,,,-56.599996984E-3,-39.99999911E-3,
,,,-56.559998542E-3,359.99998450E-3,,,,,-56.559998542E-3,-59.999998659E-3,
,,,-56.520000100E-3,340.00000358E-3,,,,,-56.520000100E-3,-59.999998659E-3,
