Circuito RL

Resistencia 300 Ohms

Caida en Resistencia
t1	0.00137496425904864	1.05378224356514E-5
t1	0.0013743833761908	1.02819896325839E-5
t1	0.0013783895082483	1.05796850952188E-5
t1	0.00136127111003538	9.81272169822502E-6
t1	0.00137973687610334	9.78437880562426E-6
t1	0.00137968441448459	1.00213047176392E-5
t1	0.00136693282664271	1.01665294689513E-5
t1	0.00137671425162516	1.05914716647158E-5
t1	0.00134885487262747	1.30780651082514E-5
t1	0.00135692975934217	1.0183761926123E-5
t1	0.00136306398593145	1.05684790118135E-5
t1	0.00137560707955727	1.07235583967697E-5
t1	0.00136279241742075	1.00033516882571E-5
t1	0.0013737181291555	1.19455854516629E-5
t1	0.0014074816047981	1.58219905160564E-5
t1	0.00138084219454089	1.8322088798209E-5


Resistencia 500 Ohms
t1	0.00103646418127969	5.83002653289281E-6
t1	0.00105059237645636	6.27423070725749E-6
t1	0.00103640406093269	5.97853835187961E-6
t1	9.55758517372856E-4	8.89571389705154E-6
t1	0.00103240738148126	5.67073066584549E-6
t1	0.00105352582928102	5.70059683666328E-6
t1	0.00104069275941588	5.42208027330648E-6
t1	0.00105295747454921	5.41360325388346E-6
t1	0.00102912971122006	5.6397478214294E-6
t1	0.00104694315925088	6.12813721801114E-6
t1	0.00103719152381793	5.52492506681692E-6
t1	0.00104966246179885	5.75852481458959E-6
t1	0.00103829029441406	5.50277899985814E-6
t1	0.00106619023183471	6.30702448225646E-6
t1	0.00103310247528097	5.39143685533295E-6
t1	0.00105172147580445	1.08203658275029E-5


Caida en Resistenicia 700 Ohms
t1	7.64363316022898E-4	4.17330898761134E-6
t1	7.70424926902954E-4	4.22614584298834E-6
t1	7.6367508753205E-4	4.02544688810121E-6
t1	7.76850346450451E-4	4.54566079724284E-6
t1	7.67880991584696E-4	5.11565985315011E-6
t1	7.75346565969334E-4	4.44017552780042E-6
t1	7.68038566345315E-4	4.21544832086433E-6
t1	7.76628489916614E-4	4.66056642935061E-6
t1	7.6407884655687E-4	3.74641672452225E-6
t1	7.75643496044318E-4	4.98730646284114E-6
t1	7.57484510480861E-4	4.58261565893238E-6
t1	7.71853367553288E-4	4.25622608211917E-6
t1	7.68370258086428E-4	4.34907571333212E-6
t1	7.69457048311135E-4	3.88860164136219E-6
t1	7.73530186374337E-4	5.30762307409642E-6
t1	7.73680211112897E-4	6.09973550995236E-6


Caida en resistencia 900 Ohms
t1	6.48758800545848E-4	3.16541460636205E-6
t1	6.52005142350464E-4	3.39683595158039E-6
t1	6.49093660332583E-4	3.76570057597197E-6
t1	6.73301176641413E-4	5.78121722040972E-6
t1	6.47451981249409E-4	2.99657778769974E-6
t1	6.58519832118938E-4	4.3069345004086E-6
t1	6.50724848569839E-4	3.28386873497326E-6
t1	6.65573664482369E-4	3.79922330084769E-6
t1	6.46623597594788E-4	3.51700254993327E-6
t1	6.57394305954925E-4	3.25003582245076E-6
t1	6.47322925671637E-4	3.17205320807405E-6
t1	6.66490790906613E-4	4.41993787496105E-6
t1	6.46095603237444E-4	3.58956756359959E-6
t1	6.60486575142522E-4	4.37260036762272E-6
t1	6.54146725569063E-4	3.5897737142716E-6
t1	6.67205893803637E-4	4.55683299054347E-6


Caida en Resistencia 1100 Ohms
t1	5.65463244643367E-4	2.64296304612658E-6
t1	5.73463042977419E-4	2.97733238752234E-6
t1	5.59852128197383E-4	2.85892787587599E-6
t1	5.80153606871843E-4	3.90029820875111E-6
t1	5.69264136065374E-4	3.41214838602231E-6
t1	5.71327623111242E-4	2.69941128144877E-6
t1	5.70099706846427E-4	3.34411605796564E-6
t1	5.74001974338524E-4	2.89283373306687E-6
t1	5.64299853417012E-4	3.45527007511277E-6
t1	5.75068352648431E-4	3.43394165090138E-6
t1	5.66922765173371E-4	3.33131744873926E-6
t1	5.7221229166284E-4	2.90191415511832E-6
t1	5.65276922225038E-4	3.19549464042614E-6
t1	5.68867443187525E-4	3.47152485247963E-6
t1	5.70101263890881E-4	3.07461062098776E-6
t1	5.69273029921146E-4	3.24179927953522E-6




Caida en Inductancia


Resistencia 3000 Ohms

Menos picos
t1	2.49331441617079E-4	1.28788127292208E-6
t1	2.48365562178614E-4	1.62348855565683E-6
t1	2.48709415159842E-4	1.36302396212058E-6
t1	2.48903128390807E-4	1.39032696460411E-6
t1	3.87945939197907E-4	7.85963453147728E-5
t1	2.48816308273755E-4	1.34539919896349E-6
t1	2.47802022562305E-4	1.36170545383248E-6
t1	2.4916070517754E-4	1.48786639646838E-6

Mas Picos
t1	2.44698410971204E-4	1.86502734840094E-6
t1	2.45828357614954E-4	4.81149052659165E-6
t1	2.51265095779037E-4	2.02219180616072E-6
t1	2.44912876576192E-4	1.96123577975691E-6
t1	2.47049703092257E-4	1.94112857899425E-6
t1	2.58307190378089E-4	4.64630589009623E-6
t1	2.50357505297724E-4	1.99306199410313E-6
t1	2.45968887417232E-4	1.83809404881112E-6
t1	2.42709433838276E-4	1.67049079383952E-6
t1	2.56840109475854E-4	2.85671395715934E-6
t1	2.49288026128505E-4	1.97292133974887E-6
t1	5.86598610919556E-5	0
t1	2.42235053641082E-4	1.52896234076457E-6
t1	2.48352746320282E-4	3.91071291568406E-6
t1	2.43357729641446E-4	2.24316154477744E-6
t1	2.41964782322083E-4	1.7217201504135E-6


Resistencia 5000 Ohms

Menos picos
t1	1.59682165471147E-4	1.69625659193448E-6
t1	1.5367833866727E-4	1.11041688925018E-6
t1	1.57804611338824E-4	1.48794763387926E-6
t1	1.55748082667796E-4	1.18426888681602E-6
