Record Length,2500,Points,-64.999997616E-3,3.59999990,,Record Length,2500,Points,-64.999997616E-3,-4.71999979,
Sample Interval,99.999997474E-6,s,-64.899995923E-3,3.51999998,,Sample Interval,99.999997474E-6,s,-64.899995923E-3,-4.63999987,
Trigger Point,649.999992579,Samples,-64.799994230E-3,3.51999998,,Trigger Point,649.999992579,Samples,-64.799994230E-3,-4.55999994,
,,,-64.699999988E-3,3.51999998,,,,,-64.699999988E-3,-4.55999994,
,,,-64.599998295E-3,3.51999998,,,,,-64.599998295E-3,-4.48000002,
,,,-64.499996603E-3,3.51999998,,,,,-64.499996603E-3,-4.40000010,
Source,CH1,,-64.399994910E-3,3.43999982,,Source,CH2,,-64.399994910E-3,-4.31999969,
Vertical Units,Volts,,-64.300000668E-3,3.43999982,,Vertical Units,Volts,,-64.300000668E-3,-4.23999977,
Vertical Scale,2.0000000,,-64.199998975E-3,3.51999998,,Vertical Scale,2.0000000,,-64.199998975E-3,-4.07999992,
Vertical Offset,0,,-64.099997282E-3,3.43999982,,Vertical Offset,0,,-64.099997282E-3,-4.07999992,
Horizontal Units,s,,-63.999995589E-3,3.43999982,,Horizontal Units,s,,-63.999995589E-3,-4.00000000,
Horizontal Scale,24.99999937E-3,,-63.900001347E-3,3.43999982,,Horizontal Scale,24.99999937E-3,,-63.900001347E-3,-3.83999991,
Pt Fmt,Y,,-63.799999654E-3,3.43999982,,Pt Fmt,Y,,-63.799999654E-3,-3.75999999,
Yzero,80.000000000E-3,,-63.699997962E-3,3.43999982,,Yzero,0.0,,-63.699997962E-3,-3.59999990,
Probe Atten,1.000000,,-63.599996269E-3,3.43999982,,Probe Atten,1.000000,,-63.599996269E-3,-3.51999998,
,,,-63.499994576E-3,3.43999982,,,,,-63.499994576E-3,-3.43999982,
Note,TBS 1052B-EDU - 12:30:20 p.m.   19/02/2016,,-63.400000334E-3,3.43999982,,Note,TBS 1052B-EDU - 12:30:20 p.m.   19/02/2016,,-63.400000334E-3,-3.27999997,
,,,-63.299998641E-3,3.43999982,,,,,-63.299998641E-3,-3.19999981,
,,,-63.199996948E-3,3.43999982,,,,,-63.199996948E-3,-3.11999989,
,,,-63.099995255E-3,3.43999982,,,,,-63.099995255E-3,-2.96000004,
,,,-63.000001013E-3,3.35999990,,,,,-63.000001013E-3,-2.79999995,
,,,-62.899999321E-3,3.35999990,,,,,-62.899999321E-3,-2.6399999,
,,,-62.799997628E-3,3.35999990,,,,,-62.799997628E-3,-2.5599999,
,,,-62.699995935E-3,3.35999990,,,,,-62.699995935E-3,-2.3999999,
,,,-62.599994242E-3,3.35999990,,,,,-62.599994242E-3,-2.2400000,
,,,-62.499996275E-3,3.35999990,,,,,-62.499996275E-3,-2.0799999,
,,,-62.399998307E-3,3.35999990,,,,,-62.399998307E-3,-1.9200000,
,,,-62.299996614E-3,3.35999990,,,,,-62.299996614E-3,-1.7600000,
,,,-62.199998647E-3,3.35999990,,,,,-62.199998647E-3,-1.6799999,
,,,-62.099996954E-3,3.35999990,,,,,-62.099996954E-3,-1.5200000,
,,,-61.999998987E-3,3.35999990,,,,,-61.999998987E-3,-1.3600000,
,,,-61.899997294E-3,3.35999990,,,,,-61.899997294E-3,-1.1999999,
,,,-61.799999326E-3,3.27999997,,,,,-61.799999326E-3,-1.0400000,
,,,-61.699997634E-3,3.27999997,,,,,-61.699997634E-3,-879.999995232E-3,
,,,-61.599995941E-3,3.27999997,,,,,-61.599995941E-3,-719.999969006E-3,
,,,-61.499997973E-3,3.27999997,,,,,-61.499997973E-3,-560.000002384E-3,
,,,-61.399996281E-3,3.27999997,,,,,-61.399996281E-3,-479.999989271E-3,
,,,-61.299998313E-3,3.27999997,,,,,-61.299998313E-3,-319.99999285E-3,
,,,-61.199996620E-3,3.19999981,,,,,-61.199996620E-3,-79.999998212E-3,
,,,-61.099998653E-3,3.27999997,,,,,-61.099998653E-3,0.0,
