Record Length,2500,Points,-5.44000044E-3,0.0,,Record Length,2500,Points,-5.44000044E-3,-8.000000000,
Sample Interval,3.99999999E-6,s,-5.43600041E-3,0.0,,Sample Interval,3.99999999E-6,s,-5.43600041E-3,-7.919999599,
Trigger Point,1.3600002E3,Samples,-5.43200038E-3,0.0,,Trigger Point,1.3600002E3,Samples,-5.43200038E-3,-7.919999599,
,,,-5.42800035E-3,0.0,,,,,-5.42800035E-3,-7.919999599,
,,,-5.42400032E-3,0.0,,,,,-5.42400032E-3,-7.919999599,
,,,-5.42000029E-3,0.0,,,,,-5.42000029E-3,-7.919999599,
Source,CH1,,-5.41600026E-3,0.0,,Source,CH2,,-5.41600026E-3,-7.839999676,
Vertical Units,Volts,,-5.41200023E-3,0.0,,Vertical Units,Volts,,-5.41200023E-3,-7.919999599,
Vertical Scale,2.0000000,,-5.40800067E-3,0.0,,Vertical Scale,2.0000000,,-5.40800067E-3,-7.839999676,
Vertical Offset,0,,-5.40400064E-3,0.0,,Vertical Offset,0,,-5.40400064E-3,-7.839999676,
Horizontal Units,s,,-5.40000061E-3,0.0,,Horizontal Units,s,,-5.40000061E-3,-7.919999599,
Horizontal Scale,1.000000E-3,,-5.39600058E-3,0.0,,Horizontal Scale,1.000000E-3,,-5.39600058E-3,-7.839999676,
Pt Fmt,Y,,-5.39200054E-3,0.0,,Pt Fmt,Y,,-5.39200054E-3,-7.839999676,
Yzero,80.000000000E-3,,-5.38800051E-3,0.0,,Yzero,0.0,,-5.38800051E-3,-7.839999676,
Probe Atten,1.000000,,-5.38400048E-3,0.0,,Probe Atten,1.000000,,-5.38400048E-3,-7.839999676,
,,,-5.38000045E-3,0.0,,,,,-5.38000045E-3,-7.839999676,
Note,TBS 1052B-EDU - 11:16:20 a.m.   19/02/2016,,-5.37600042E-3,0.0,,Note,TBS 1052B-EDU - 11:16:20 a.m.   19/02/2016,,-5.37600042E-3,-7.839999676,
,,,-5.37200039E-3,0.0,,,,,-5.37200039E-3,-7.839999676,
,,,-5.36800036E-3,0.0,,,,,-5.36800036E-3,-7.839999676,
,,,-5.36400033E-3,0.0,,,,,-5.36400033E-3,-7.839999676,
,,,-5.36000030E-3,0.0,,,,,-5.36000030E-3,-7.839999676,
,,,-5.35600027E-3,0.0,,,,,-5.35600027E-3,-7.759999752,
,,,-5.35200024E-3,0.0,,,,,-5.35200024E-3,-7.759999752,
,,,-5.34800068E-3,0.0,,,,,-5.34800068E-3,-7.759999752,
,,,-5.34400064E-3,-79.999998212E-3,,,,,-5.34400064E-3,-7.839999676,
,,,-5.34000061E-3,0.0,,,,,-5.34000061E-3,-7.759999752,
,,,-5.33600058E-3,0.0,,,,,-5.33600058E-3,-7.759999752,
,,,-5.33200055E-3,0.0,,,,,-5.33200055E-3,-7.759999752,
,,,-5.32800052E-3,0.0,,,,,-5.32800052E-3,-7.759999752,
,,,-5.32400049E-3,0.0,,,,,-5.32400049E-3,-7.759999752,
,,,-5.32000046E-3,0.0,,,,,-5.32000046E-3,-7.759999752,
,,,-5.31600043E-3,0.0,,,,,-5.31600043E-3,-7.759999752,
,,,-5.31200040E-3,0.0,,,,,-5.31200040E-3,-7.759999752,
,,,-5.30800037E-3,0.0,,,,,-5.30800037E-3,-7.759999752,
,,,-5.30400034E-3,0.0,,,,,-5.30400034E-3,-7.679999828,
,,,-5.30000031E-3,0.0,,,,,-5.30000031E-3,-7.679999828,
,,,-5.29600028E-3,0.0,,,,,-5.29600028E-3,-7.759999752,
,,,-5.29200025E-3,0.0,,,,,-5.29200025E-3,-7.679999828,
